"Temperature","Revenue","Location"
25.2,588,"Pasadena Community College"
22.2,538,"Lake Tahoe"
28.3,640,"Griffith Park"
21.8,468,"Lake Tahoe"
15.2,375,"Balboa Pier"
25.4,605,"Balboa Pier"
18.5,464,"Santa Monica Pier"
22.9,551,"UCSD"
14.4,316,"Lake Tahoe"
7.3,224,"Balboa Pier"
25.3,564,"UCI"
21,490,"Balboa Pier"
19.8,459,"Lake Arrowhead"
42,966,"Balboa Pier"
28.7,690,"Big Bear"
29.3,679,"Santa Monica Pier"
15.9,380,"Balboa Pier"
20.9,509,"UCI"
30.5,685,"Balboa Pier"
24.9,599,"Griffith Park"
19.9,417,"Pasadena Community College"
22.2,572,"UCSD"
34.1,772,"Santa Monica Pier"
9.6,236,"UCI"
25.6,580,"Balboa Pier"
19.1,407,"Pasadena Community College"
23.1,537,"Lake Tahoe"
8.1,250,"Lake Tahoe"
29.8,703,"Balboa Pier"
12.2,336,"Irvine Spectrum"
35.1,808,"UCI"
25,565,"Irvine Spectrum"
38.2,857,"Huntington Beach"
19,483,"Huntington Beach"
18.8,437,"Pasadena Community College"
7.3,217,"Huntington Beach"
12.8,296,"Lake Tahoe"
24.6,595,"Santa Monica Pier"
39.8,936,"Lake Arrowhead"
30.3,649,"Pasadena Community College"
24.5,597,"Big Bear"
20.3,499,"Griffith Park"
20.3,476,"Santa Monica Pier"
14.9,385,"UCI"
28.8,634,"Santa Monica Pier"
29.8,660,"UCSD"
26.4,610,"Huntington Beach"
6.8,200,"UCI"
23.3,556,"UCSD"
24.4,595,"UCI"
25.8,573,"UCSD"
21.7,479,"Huntington Beach"
26.2,564,"Balboa Pier"
21.7,546,"Lake Tahoe"
18.9,445,"Pasadena Community College"
0.3,33,"Big Bear"
19.7,507,"Pasadena Community College"
20.2,492,"Pasadena Community College"
24,560,"Pasadena Community College"
29.3,698,"Griffith Park"
34.9,799,"Lake Arrowhead"
11.2,279,"Griffith Park"
26.2,595,"Irvine Spectrum"
39.9,876,"Santa Monica Pier"
20.5,514,"UCSD"
17.9,441,"Lake Tahoe"
18.4,411,"Lake Tahoe"
10,257,"Lake Arrowhead"
25.1,584,"UCI"
12.1,279,"Santa Monica Pier"
37,852,"Griffith Park"
14.8,323,"Griffith Park"
7.2,222,"Lake Tahoe"
38.1,820,"UCI"
27,645,"Irvine Spectrum"
12.5,284,"Big Bear"
10.2,277,"UCSD"
17.6,403,"UCI"
12.1,301,"Lake Tahoe"
30.5,691,"UCSD"
7.4,193,"UCSD"
22.7,547,"Lake Tahoe"
28.1,666,"Big Bear"
33.6,751,"Lake Arrowhead"
24.3,570,"UCSD"
38.7,917,"UCSD"
0,10,"Lake Tahoe"
24.4,573,"Santa Monica Pier"
26.2,659,"Huntington Beach"
5.4,243,"Irvine Spectrum"
18,442,"UCSD"
31,703,"UCSD"
29.8,644,"UCI"
32.7,819,"Balboa Pier"
21.2,494,"Balboa Pier"
18.6,444,"Griffith Park"
14.6,324,"Pasadena Community College"
41.8,970,"UCI"
27.2,659,"Balboa Pier"
20.1,478,"Huntington Beach"
20.6,426,"Pasadena Community College"
27.6,650,"Balboa Pier"
30.3,680,"Santa Monica Pier"
21.7,506,"Griffith Park"
20.1,474,"Balboa Pier"
17.3,406,"Santa Monica Pier"
17.2,429,"Balboa Pier"
35.5,801,"UCSD"
19.2,446,"Pasadena Community College"
19,451,"Griffith Park"
26.2,618,"Lake Arrowhead"
20,542,"Pasadena Community College"
27.8,655,"Griffith Park"
21.1,522,"UCI"
25.4,604,"Irvine Spectrum"
24.2,589,"Balboa Pier"
27.6,635,"Irvine Spectrum"
8.8,247,"Pasadena Community College"
27.6,641,"Balboa Pier"
16,382,"UCI"
17.2,391,"Balboa Pier"
28.8,655,"Balboa Pier"
17.2,413,"Irvine Spectrum"
8.8,265,"Griffith Park"
31.1,685,"Santa Monica Pier"
19.3,460,"Big Bear"
27.2,616,"Irvine Spectrum"
30.1,699,"UCI"
45,1000,"Lake Tahoe"
19,450,"UCI"
15.2,323,"UCI"
21.9,494,"Big Bear"
29.6,630,"Irvine Spectrum"
19.3,453,"Big Bear"
29.9,684,"Huntington Beach"
21.7,538,"Irvine Spectrum"
25,609,"Huntington Beach"
31.2,747,"Huntington Beach"
34.7,757,"Lake Tahoe"
21,492,"Huntington Beach"
37.2,893,"UCSD"
26.4,647,"UCSD"
35.4,805,"UCI"
24.5,527,"UCI"
38.7,892,"Lake Arrowhead"
29,637,"Balboa Pier"
12.2,298,"Pasadena Community College"
11.6,258,"Pasadena Community College"
17.5,392,"UCI"
20.9,495,"Lake Arrowhead"
40.4,927,"Pasadena Community College"
26.6,613,"Griffith Park"
39.6,899,"Balboa Pier"
22.4,490,"Big Bear"
9.4,292,"Huntington Beach"
19.5,430,"Huntington Beach"
22.3,501,"UCSD"
18.9,476,"Balboa Pier"
21.8,531,"Lake Arrowhead"
18.2,454,"Huntington Beach"
14.9,297,"Huntington Beach"
28.9,683,"Huntington Beach"
25.4,582,"Griffith Park"
18.6,433,"Lake Arrowhead"
22.5,508,"UCI"
30.1,692,"UCSD"
17,449,"Huntington Beach"
27.3,613,"UCSD"
4.9,189,"Santa Monica Pier"
23.5,502,"UCI"
12.4,334,"Griffith Park"
32.7,794,"Lake Arrowhead"
16.8,380,"Big Bear"
27,582,"Huntington Beach"
23.9,585,"Irvine Spectrum"
34.5,810,"Pasadena Community College"
23.1,553,"Big Bear"
15,378,"Huntington Beach"
25.2,572,"Lake Arrowhead"
22.3,525,"Balboa Pier"
32.9,756,"Santa Monica Pier"
12.6,307,"Huntington Beach"
22.4,567,"Huntington Beach"
29,656,"Huntington Beach"
